,index,country,year,population,emissions_total_per_capita,share_pop_using_internet,gdp_per_capita,share_electricity_access,life_expectancy_at_birth,deaths__interpersonal_violence__sex__both__age__all_ages__rate
182,27254,Greenland,2010,56374,12.041615,63.0,43198.08,100.0,70.3271,10.52
183,27255,Greenland,2011,56310,12.881087,64.0,42994.92,100.0,70.8311,9.92
184,27256,Greenland,2012,56217,10.289984,64.89601,43655.746,100.0,71.4352,9.72
185,27257,Greenland,2013,56116,10.000998,65.8,43338.43,100.0,71.9923,9.46
186,27258,Greenland,2014,55972,9.305313,66.7,45545.19,100.0,71.9365,9.35
187,27259,Greenland,2015,55916,9.367909,67.60044,44536.402,100.0,72.1071,9.16
188,27260,Greenland,2016,55941,9.383529,68.50088,46561.832,100.0,72.1911,9.22
189,27261,Greenland,2017,55951,9.687083,69.48246,46598.824,100.0,72.5693,9.05
190,27262,Greenland,2018,55954,9.794134,,47584.344,100.0,72.2036,8.98
191,27263,Greenland,2019,55955,9.894308,,48209.348,100.0,72.2124,8.91
192,27264,Greenland,2020,56049,8.929295,,,100.0,72.2834,
193,27265,Greenland,2021,56266,9.0758,,,,72.3542,
194,27266,Greenland,2022,56494,,,,,,
195,27267,Greenland,2023,56667,,,,,,
196,27268,Greenland,2024,56814,,,,,,
197,27269,Greenland,2025,56941,,,,,,
198,27270,Greenland,2026,57039,,,,,,
199,27271,Greenland,2027,57113,,,,,,
200,27272,Greenland,2028,57155,,,,,,
201,27273,Greenland,2029,57177,,,,,,
202,27274,Greenland,2030,57177,,,,,,
203,27275,Greenland,2031,57139,,,,,,
204,27276,Greenland,2032,57094,,,,,,
205,27277,Greenland,2033,57028,,,,,,
206,27278,Greenland,2034,56923,,,,,,
207,27279,Greenland,2035,56803,,,,,,
208,27280,Greenland,2036,56687,,,,,,
209,27281,Greenland,2037,56551,,,,,,
210,27282,Greenland,2038,56393,,,,,,
211,27283,Greenland,2039,56235,,,,,,
212,27284,Greenland,2040,56066,,,,,,
213,27285,Greenland,2041,55891,,,,,,
214,27286,Greenland,2042,55709,,,,,,
215,27287,Greenland,2043,55517,,,,,,
216,27288,Greenland,2044,55307,,,,,,
217,27289,Greenland,2045,55104,,,,,,
218,27290,Greenland,2046,54891,,,,,,
219,27291,Greenland,2047,54674,,,,,,
220,27292,Greenland,2048,54464,,,,,,
221,27293,Greenland,2049,54244,,,,,,
222,27294,Greenland,2050,54022,,,,,,
223,27295,Greenland,2051,53795,,,,,,
224,27296,Greenland,2052,53570,,,,,,
225,27297,Greenland,2053,53346,,,,,,
226,27298,Greenland,2054,53115,,,,,,
227,27299,Greenland,2055,52899,,,,,,
228,27300,Greenland,2056,52672,,,,,,
229,27301,Greenland,2057,52435,,,,,,
230,27302,Greenland,2058,52209,,,,,,
231,27303,Greenland,2059,51985,,,,,,
232,27304,Greenland,2060,51757,,,,,,
233,27305,Greenland,2061,51522,,,,,,
234,27306,Greenland,2062,51291,,,,,,
235,27307,Greenland,2063,51055,,,,,,
236,27308,Greenland,2064,50817,,,,,,
237,27309,Greenland,2065,50568,,,,,,
238,27310,Greenland,2066,50318,,,,,,
239,27311,Greenland,2067,50072,,,,,,
240,27312,Greenland,2068,49816,,,,,,
241,27313,Greenland,2069,49558,,,,,,
242,27314,Greenland,2070,49291,,,,,,
243,27315,Greenland,2071,49018,,,,,,
244,27316,Greenland,2072,48742,,,,,,
245,27317,Greenland,2073,48456,,,,,,
246,27318,Greenland,2074,48181,,,,,,
247,27319,Greenland,2075,47889,,,,,,
248,27320,Greenland,2076,47599,,,,,,
249,27321,Greenland,2077,47306,,,,,,
250,27322,Greenland,2078,47016,,,,,,
251,27323,Greenland,2079,46718,,,,,,
252,27324,Greenland,2080,46424,,,,,,
253,27325,Greenland,2081,46125,,,,,,
254,27326,Greenland,2082,45824,,,,,,
255,27327,Greenland,2083,45532,,,,,,
256,27328,Greenland,2084,45240,,,,,,
257,27329,Greenland,2085,44944,,,,,,
258,27330,Greenland,2086,44662,,,,,,
259,27331,Greenland,2087,44371,,,,,,
260,27332,Greenland,2088,44086,,,,,,
261,27333,Greenland,2089,43806,,,,,,
262,27334,Greenland,2090,43516,,,,,,
263,27335,Greenland,2091,43231,,,,,,
264,27336,Greenland,2092,42940,,,,,,
265,27337,Greenland,2093,42655,,,,,,
266,27338,Greenland,2094,42368,,,,,,
267,27339,Greenland,2095,42081,,,,,,
268,27340,Greenland,2096,41786,,,,,,
269,27341,Greenland,2097,41494,,,,,,
270,27342,Greenland,2098,41196,,,,,,
271,27343,Greenland,2099,40899,,,,,,
272,27344,Greenland,2100,40601,,,,,,
